5	5	7	7	10	10	16	18	27	29	34	36	39	44	45	24	2											15	12	10	7	6	5
									8	15	16	21	31	46	52	56	61	63	64	67	47	30	11									
											8	15	17	27	39	53	61	63	64	69	61	57	46	26	9							
												16	18	26	35	45	53	55	55	59	50	46	43	23								
													19	23	22	30	43	54	58	63	55	53	52	40	34	19						
5	5	7	7	10	10	16	18	27	29	34	36	39	44	51	40	28	12										15	12	10	7	6	5
									13	15	19	36	43	50	50	53	58	60	60	65	57	55	54									
													21	24	24	32	46	59	64	68	60	58	57	44	35	25	4					
										10	18	20	25	32	35	41	48	52	53	57	50	48	48	38	34	27	21	15	1			
									14	15	16	20	27	37	42	46	51	52	53	57	50	48	47	38	34	27	22	16	8			
											15	16	19	30	38	48	56	58	59	63	54	49	34									
													19	22	23	33	45	54	56	60	52	50	49	36	20							
											8	14	15	21	29	41	53	55	56	60	52	49	44	32	3							
												15	17	20	24	32	42	51	58	63	55	53	50	34	6							
									14	15	16	20	26	36	41	46	50	52	52	56	49	47	47	38	33	27	22	16	8			
										15	16	17	21	29	33	39	47	52	53	57	50	48	48	38	34	27	21	15	8			
								13	20	26	31	36	40	35	42	50	39	53	51	54	50	39	51	9								
												15	17	26	36	49	58	60	61	54	33	16										
													9	17	17	26	42	56	66	72	63	60	60	43	3							
										9	15	17	22	34	40	48	53	55	55	55	37	25	4									
										8	15	16	19	32	41	53	61	63	64	69	60	51	42	3								
									16	18	22	29	38	48	47	51	55	57	58	62	51	45	40	7								
										17	22	36	46	54	40	35	61	65	37	67	56	33	57	42								
									13	14	15	19	27	39	46	56	64	66	67	71	63	60	59	43	33	23	4					
									13	15	17	21	27	35	38	41	45	47	47	51	45	43	40	30	24	17	13	7				
